 2.0000000   6.0000000   24.4627   3849.905 0.146    4.6   -4.9 0.13 -0.101  57   0 15:22:52     44470.63985    0.0000  2021/11/02
 0.0000000  100.0000000   25.4393   3856.772 0.047   -0.1   -0.5 0.35 -0.099  57   0 15:46:15     44470.65607    0.0000  2021/11/02
 0.0000000  100.0000000   25.4393   3856.787 0.067    0.1   -0.6 0.35 -0.099  57   0 15:47:18     44470.65679    0.0000  2021/11/02
 0.0000000  100.0000000   25.1951   3856.792 0.045    0.4   -0.8 0.34 -0.099  57   0 15:48:18     44470.65749    0.0000  2021/11/02
 0.0000000  100.0000000   25.1951   3856.795 0.055    0.6   -1.0 0.33 -0.099  57   0 15:49:18     44470.65818    0.0000  2021/11/02
 0.0000000  100.0000000   24.9510   3856.797 0.058    0.8   -1.1 0.31 -0.099  57   0 15:50:18     44470.65887    0.0000  2021/11/02
 0.0000000  100.0000000   24.9510   3856.798 0.060    0.9   -1.2 0.29 -0.099  57   0 15:51:18     44470.65957    0.0000  2021/11/02
 0.0000000  100.0000000   24.7068   3856.801 0.057    0.9   -1.3 0.28 -0.099  57   0 15:52:18     44470.66026    0.0000  2021/11/02
 0.0000000  100.0000000   24.7068   3856.802 0.059    0.9   -1.4 0.26 -0.098  57   0 15:53:18     44470.66095    0.0000  2021/11/02
 0.0000000  100.0000000   24.4627   3856.801 0.051    0.8   -1.6 0.24 -0.098  57   0 15:54:18     44470.66165    0.0000  2021/11/02
 0.0000000  100.0000000   24.4627   3856.804 0.053    0.8   -1.7 0.23 -0.098  57   0 15:55:18     44470.66234    0.0000  2021/11/02
 0.0000000  100.0000000   24.4627   3856.804 0.040    0.7   -1.9 0.21 -0.098  57   0 15:56:18     44470.66303    0.0000  2021/11/02
 0.0000000  100.0000000   24.4627   3856.804 0.046    0.7   -2.0 0.20 -0.098  57   0 15:57:18     44470.66373    0.0000  2021/11/02
 0.0000000  100.0000000   24.2186   3856.804 0.048    0.6   -2.1 0.19 -0.098  57   0 15:58:18     44470.66442    0.0000  2021/11/02
 0.0000000  100.0000000   24.2186   3856.805 0.049    0.6   -2.3 0.17 -0.098  57   0 15:59:18     44470.66511    0.0000  2021/11/02
 0.0000000  100.0000000   24.2186   3856.806 0.054    0.6   -2.4 0.16 -0.097  57   0 16:00:18     44470.66581    0.0000  2021/11/02
 0.0000000  100.0000000   24.2186   3856.806 0.045    0.4   -2.5 0.15 -0.097  57   0 16:01:18     44470.66650    0.0000  2021/11/02
 0.0000000  100.0000000   23.9744   3856.806 0.059    0.3   -2.6 0.14 -0.097  57   0 16:02:18     44470.66719    0.0000  2021/11/02
 0.0000000  100.0000000   21.5330   3856.948 0.040   -5.5  -15.3 0.09 -0.046  57   0 12:28:18     44471.51882    0.0000  2021/11/03
 0.0000000  100.0000000   21.5330   3856.949 0.061   -5.5  -15.4 0.09 -0.047  57   0 12:29:18     44471.51951    0.0000  2021/11/03
 0.0000000  100.0000000   21.2889   3856.951 0.060   -5.5  -15.3 0.09 -0.047  57   0 12:30:18     44471.52021    0.0000  2021/11/03
 0.0000000  100.0000000   21.5330   3856.951 0.049   -5.5  -15.3 0.09 -0.048  57   0 12:31:18     44471.52090    0.0000  2021/11/03
 0.0000000  100.0000000   21.2889   3856.951 0.065   -5.5  -15.3 0.09 -0.048  57   0 12:32:18     44471.52159    0.0000  2021/11/03
 0.0000000  100.0000000   21.2889   3856.953 0.058   -5.6  -15.3 0.09 -0.049  57   0 12:33:18     44471.52229    0.0000  2021/11/03
 0.0000000  100.0000000   21.2889   3856.951 0.049   -5.5  -15.3 0.09 -0.049  57   0 12:34:18     44471.52298    0.0000  2021/11/03
 1.0000000   1.0000000   22.2654   3854.929 0.100    4.0   -0.2 0.20 -0.055  57   0 12:48:47     44471.53302    0.0000  2021/11/03
 1.0000000   1.0000000   22.2654   3854.929 0.116    3.8   -0.6 0.20 -0.056  57   0 12:49:50     44471.53375    0.0000  2021/11/03
 1.0000000   1.0000000   21.2889   3854.931 0.055    3.7   -0.8 0.19 -0.056  57   0 12:50:51     44471.53446    0.0000  2021/11/03
 1.0000000   2.0000000   22.7537   3853.037 0.285  -11.6    3.4 0.16 -0.059  57   0 12:57:53     44471.53933    0.0000  2021/11/03
 1.0000000   2.0000000   22.9979   3853.031 0.227  -11.3    2.6 0.16 -0.060  57   0 12:58:56     44471.54006    0.0000  2021/11/03
 1.0000000   2.0000000   22.2654   3853.029 0.276  -11.2    2.1 0.16 -0.060  57   0 12:59:57     44471.54077    0.0000  2021/11/03
 2.0000000   1.0000000   23.2420   3854.909 0.121   -6.9    3.1 0.17 -0.062  57   0 13:04:58     44471.54424    0.0000  2021/11/03
 2.0000000   1.0000000   23.2420   3854.916 0.109   -7.2    3.2 0.17 -0.063  57   0 13:06:01     44471.54497    0.0000  2021/11/03
 2.0000000   1.0000000   22.5096   3854.919 0.122   -7.4    2.9 0.17 -0.063  57   0 13:07:02     44471.54568    0.0000  2021/11/03
 2.0000000   2.0000000   23.7303   3853.016 0.144  -14.2    2.9 0.18 -0.066  57   0 13:13:32     44471.55018    0.0000  2021/11/03
 2.0000000   2.0000000   23.7303   3853.019 0.170  -14.9    2.5 0.19 -0.067  57   0 13:14:35     44471.55091    0.0000  2021/11/03
 2.0000000   2.0000000   22.7537   3853.023 0.202  -15.0    2.1 0.19 -0.067  57   0 13:15:36     44471.55162    0.0000  2021/11/03
 1.0000000   3.0000000   23.9744   3850.054 0.136  -19.1   -0.1 0.18 -0.070  57   0 13:23:07     44471.55683    0.0000  2021/11/03
 1.0000000   3.0000000   24.2186   3850.056 0.200  -19.9   -0.6 0.17 -0.070  57   0 13:24:10     44471.55756    0.0000  2021/11/03
 1.0000000   3.0000000   23.2420   3850.059 0.355  -20.2   -1.0 0.17 -0.071  57   0 13:25:11     44471.55826    0.0000  2021/11/03
 3.0000000   2.0000000   24.2186   3853.024 0.097   -8.5   -2.3 0.18 -0.074  57   0 13:31:32     44471.56266    0.0000  2021/11/03
 3.0000000   2.0000000   24.2186   3853.026 0.097   -7.9   -2.4 0.19 -0.074  57   0 13:32:35     44471.56339    0.0000  2021/11/03
 3.0000000   2.0000000   23.4861   3853.026 0.269   -7.5   -2.8 0.19 -0.075  57   0 13:33:36     44471.56410    0.0000  2021/11/03
 2.0000000   3.0000000   24.4627   3850.058 0.126   -6.2    0.0 0.19 -0.077  57   0 13:39:40     44471.56830    0.0000  2021/11/03
 2.0000000   3.0000000   24.4627   3850.059 0.127   -6.6   -0.6 0.20 -0.077  57   0 13:40:43     44471.56903    0.0000  2021/11/03
 2.0000000   3.0000000   23.7303   3850.059 0.101   -6.7   -1.2 0.20 -0.078  57   0 13:41:44     44471.56974    0.0000  2021/11/03
 0.0000000  100.0000000   24.4627   3856.919 0.033   -0.3   -0.1 0.24 -0.084  57   0 13:58:11     44471.58114    0.0000  2021/11/03
 0.0000000  100.0000000   24.4627   3856.931 0.043   -0.4   -0.6 0.24 -0.084  57   0 13:59:14     44471.58187    0.0000  2021/11/03
 0.0000000  100.0000000   24.2186   3856.937 0.045   -0.3   -1.1 0.23 -0.085  57   0 14:00:14     44471.58256    0.0000  2021/11/03
 0.0000000  100.0000000   24.2186   3856.939 0.048   -0.3   -1.6 0.23 -0.085  57   0 14:01:14     44471.58326    0.0000  2021/11/03
 0.0000000  100.0000000   24.4627   3856.941 0.056   -0.2   -1.8 0.22 -0.085  57   0 14:02:14     44471.58395    0.0000  2021/11/03
 0.0000000  100.0000000   23.9744   3856.942 0.047   -0.2   -2.0 0.21 -0.086  57   0 14:03:14     44471.58464    0.0000  2021/11/03
 0.0000000  100.0000000   23.9744   3856.943 0.038   -0.2   -2.2 0.20 -0.086  57   0 14:04:14     44471.58534    0.0000  2021/11/03
 0.0000000  100.0000000   23.9744   3856.944 0.037   -0.2   -2.5 0.19 -0.086  57   0 14:05:14     44471.58603    0.0000  2021/11/03
 0.0000000  100.0000000   23.9744   3856.944 0.032   -0.3   -2.6 0.18 -0.087  57   0 14:06:14     44471.58672    0.0000  2021/11/03
 0.0000000  100.0000000   23.7303   3856.942 0.032   -0.3   -2.8 0.17 -0.087  57   0 14:07:14     44471.58742    0.0000  2021/11/03
 0.0000000  100.0000000   23.7303   3856.944 0.032   -0.4   -3.0 0.17 -0.087  57   0 14:08:14     44471.58811    0.0000  2021/11/03
 0.0000000  100.0000000   23.7303   3856.945 0.038   -0.5   -3.1 0.16 -0.088  57   0 14:09:14     44471.58880    0.0000  2021/11/03
 0.0000000  100.0000000   23.4861   3856.944 0.048   -0.5   -3.3 0.15 -0.088  57   0 14:10:14     44471.58950    0.0000  2021/11/03
 0.0000000  100.0000000   21.0447   3856.723 0.079   -7.7  -17.5 0.06 -0.060  57   0 10:16:25     44473.42738    0.0000  2021/11/05
 0.0000000  100.0000000   20.5565   3856.722 0.067   -7.7  -17.5 0.06 -0.060  57   0 10:17:25     44473.42808    0.0000  2021/11/05
 0.0000000  100.0000000   20.8006   3856.724 0.054   -7.7  -17.5 0.06 -0.060  57   0 10:18:25     44473.42877    0.0000  2021/11/05
 0.0000000  100.0000000   21.2889   3856.722 0.045   -7.7  -17.5 0.06 -0.060  57   0 10:19:25     44473.42946    0.0000  2021/11/05
 0.0000000  100.0000000   20.8006   3856.723 0.039   -7.7  -17.5 0.06 -0.060  57   0 10:20:25     44473.43016    0.0000  2021/11/05
 0.0000000  100.0000000   21.0447   3856.723 0.039   -7.6  -17.5 0.06 -0.059  57   0 10:21:25     44473.43085    0.0000  2021/11/05
 0.0000000  100.0000000   21.0447   3856.721 0.049   -7.7  -17.5 0.06 -0.059  57   0 10:22:25     44473.43154    0.0000  2021/11/05
 0.0000000  100.0000000   21.0447   3856.721 0.052   -7.7  -17.5 0.06 -0.059  57   0 10:23:25     44473.43224    0.0000  2021/11/05
 1.0000000   1.0000000   22.2654   3854.692 0.089   -6.6    1.8 0.15 -0.056  57   0 10:42:29     44473.44546    0.0000  2021/11/05
 1.0000000   1.0000000   22.0213   3854.692 0.124   -6.7    1.4 0.14 -0.056  57   0 10:43:32     44473.44618    0.0000  2021/11/05
 1.0000000   1.0000000   21.5330   3854.691 0.094   -6.8    1.2 0.14 -0.056  57   0 10:44:33     44473.44689    0.0000  2021/11/05
 2.0000000   3.0000000   22.7537   3852.795 0.249  -11.5    1.5 0.14 -0.055  57   0 10:56:10     44473.45494    0.0000  2021/11/05
